disease	state_abb	state_code	state_name	perc_level_low	perc_level_moderate	perc_level_high	perc_level_very_high
ARI	LA	22	Louisiana	9.57073099615822	13.4692855010584	17.3678400059585	21.2663945108586
Influenza	MA	25	Massachusetts	0.214661386007536	2.07116867971577	3.927675973424	5.78418326713223
COVID-19	MA	25	Massachusetts	0.651185991880751	1.82948468746477	3.0077833830488	4.18608207863282
RSV	MA	25	Massachusetts	0.0670209420307515	0.665273786348602	1.26352663066645	1.8617794749843
ARI	MA	25	Massachusetts	10.1755348538362	13.5477614985896	16.919988143343	20.2922147880964
Influenza	MD	24	Maryland	0.166566858410208	2.04985748878942	3.93314811916863	5.81643874954784
COVID-19	MD	24	Maryland	0.546305741007218	1.60834266260778	2.67037958420835	3.73241650580891
RSV	MD	24	Maryland	0.0591043672668986	0.613415081927477	1.16772579658805	1.72203651124863
ARI	MD	24	Maryland	8.50635457808995	11.8662937603706	15.2262329426513	18.5861721249319
Influenza	ME	23	Maine	0.156056147912831	2.72861981621678	5.30118348452072	7.87374715282467
COVID-19	ME	23	Maine	0.69510471408335	1.76495953583068	2.83481435757801	3.90466917932534
RSV	ME	23	Maine	0.0345178372991826	0.51783502909311	1.00115222088704	1.48446941268097
ARI	ME	23	Maine	10.602944735988	14.718016839629	18.8330889432699	22.9481610469109
Influenza	MI	26	Michigan	0.198899383681348	2.44068490779078	4.68247043190021	6.92425595600964
COVID-19	MI	26	Michigan	0.564815218447782	1.62113070346039	2.677446188473	3.7337616734856
RSV	MI	26	Michigan	0.0391618200145449	0.615730594729324	1.1922993694441	1.76886814415888
ARI	MI	26	Michigan	9.32339611319278	13.414057815787	17.5047195183812	21.5953812209754
Influenza	MN	27	Minnesota	0.227893615527177	3.04451571726336	5.86113781899954	8.67775992073573
COVID-19	MN	27	Minnesota	0.586214555636831	1.57378125785207	2.56134796006731	3.54891466228255
RSV	MN	27	Minnesota	0.0905385802732976	0.666491269096988	1.24244395792068	1.81839664674437
ARI	MN	27	Minnesota	10.4202177684303	14.9752756858733	19.5303336033163	24.0853915207593
Influenza	MO	29	Missouri	0.0020277041100999	0.0508479335129959	0.099668162915892	0.148488392318788
COVID-19	MO	29	Missouri	0.00793462807198301	0.0312817613746453	0.0546288946773075	0.0779760279799697
RSV	MO	29	Missouri	7.71391329087799e-4	0.0178666474123378	0.0349619034955877	0.0520571595788377
ARI	MO	29	Missouri	0.146132016728597	0.244833011704006	0.343534006679416	0.442235001654825
Influenza	MS	28	Mississippi	0.458529612426411	3.04871049911109	5.63889138579577	8.22907227248045
COVID-19	MS	28	Mississippi	0.6964788841527	2.14702473660205	3.59757058905141	5.04811644150076
RSV	MS	28	Mississippi	0.0532949022520541	0.350134209266904	0.646973516281753	0.943812823296603
ARI	MS	28	Mississippi	11.0886183437294	15.3454286875145	19.6022390312996	23.8590493750847
Influenza	MT	30	Montana	0.10444777891344	2.56765207350132	5.0308563680892	7.49406066267708
