.draw	date	hosp	location
202	2023-11-19	2	NM
223	2023-10-21	1	NM
223	2023-10-22	0	NM
223	2023-10-23	0	NM
223	2023-10-24	1	NM
223	2023-10-25	0	NM
223	2023-10-26	1	NM
223	2023-10-27	0	NM
223	2023-10-28	0	NM
223	2023-10-29	0	NM
223	2023-10-30	1	NM
223	2023-10-31	0	NM
223	2023-11-01	0	NM
223	2023-11-02	0	NM
223	2023-11-03	1	NM
223	2023-11-04	0	NM
223	2023-11-05	0	NM
223	2023-11-06	0	NM
223	2023-11-07	0	NM
223	2023-11-08	0	NM
223	2023-11-09	0	NM
223	2023-11-10	1	NM
223	2023-11-11	1	NM
223	2023-11-12	0	NM
223	2023-11-13	0	NM
223	2023-11-14	0	NM
223	2023-11-15	0	NM
223	2023-11-16	0	NM
223	2023-11-17	0	NM
223	2023-11-18	0	NM
223	2023-11-19	0	NM
478	2023-10-21	0	NM
478	2023-10-22	0	NM
478	2023-10-23	1	NM
478	2023-10-24	0	NM
478	2023-10-25	1	NM
478	2023-10-26	1	NM
478	2023-10-27	0	NM
478	2023-10-28	0	NM
478	2023-10-29	1	NM
478	2023-10-30	1	NM
478	2023-10-31	0	NM
478	2023-11-01	0	NM
478	2023-11-02	0	NM
478	2023-11-03	0	NM
478	2023-11-04	1	NM
478	2023-11-05	0	NM
478	2023-11-06	0	NM
478	2023-11-07	0	NM
478	2023-11-08	0	NM
478	2023-11-09	0	NM
478	2023-11-10	0	NM
478	2023-11-11	0	NM
478	2023-11-12	0	NM
478	2023-11-13	1	NM
478	2023-11-14	0	NM
478	2023-11-15	2	NM
478	2023-11-16	1	NM
478	2023-11-17	0	NM
478	2023-11-18	1	NM
478	2023-11-19	0	NM
730	2023-10-21	0	NM
730	2023-10-22	0	NM
730	2023-10-23	0	NM
730	2023-10-24	0	NM
730	2023-10-25	0	NM
730	2023-10-26	0	NM
730	2023-10-27	0	NM
730	2023-10-28	0	NM
730	2023-10-29	0	NM
730	2023-10-30	0	NM
730	2023-10-31	0	NM
730	2023-11-01	0	NM
730	2023-11-02	0	NM
730	2023-11-03	0	NM
730	2023-11-04	0	NM
730	2023-11-05	0	NM
730	2023-11-06	0	NM
730	2023-11-07	0	NM
730	2023-11-08	0	NM
730	2023-11-09	0	NM
730	2023-11-10	0	NM
730	2023-11-11	0	NM
730	2023-11-12	0	NM
730	2023-11-13	0	NM
730	2023-11-14	0	NM
730	2023-11-15	0	NM
730	2023-11-16	0	NM
730	2023-11-17	0	NM
730	2023-11-18	0	NM
730	2023-11-19	0	NM
737	2023-10-21	0	NM
737	2023-10-22	0	NM
737	2023-10-23	1	NM
737	2023-10-24	0	NM
737	2023-10-25	0	NM
737	2023-10-26	0	NM
737	2023-10-27	0	NM
737	2023-10-28	0	NM
737	2023-10-29	0	NM
737	2023-10-30	0	NM
737	2023-10-31	0	NM
737	2023-11-01	0	NM
737	2023-11-02	0	NM
737	2023-11-03	0	NM
737	2023-11-04	0	NM
737	2023-11-05	0	NM
737	2023-11-06	0	NM
737	2023-11-07	2	NM
737	2023-11-08	0	NM
737	2023-11-09	0	NM
737	2023-11-10	1	NM
737	2023-11-11	0	NM
737	2023-11-12	1	NM
